text,label
"Government releases audited report showing stable inflation and improved employment figures after the latest quarterly review.",1
"Scientists publish peer reviewed study confirming a new low cost water purification method for rural communities.",1
"Election commission announces official voter turnout data and shares district wise breakdown on its portal.",1
"Health ministry confirms vaccination campaign reached remote villages with support from local hospitals.",1
"University researchers unveil open source disaster warning tool tested with historical climate data.",1
"City council approves public transport budget after televised debate and signed meeting minutes.",1
"Central bank issues policy statement explaining interest rate decision and inflation outlook for the year.",1
"International relief agency reports verified aid deliveries after flooding with names of partner organizations.",1
"Court releases written judgment and legal reasoning in corruption case involving former officials.",1
"Space agency shares mission images and telemetry confirming successful satellite deployment into orbit.",1
"Anonymous insiders claim drinking hot salt water instantly cures all cancers and governments are hiding the truth.",0
"Viral post says actor becomes prime minister overnight after secret midnight ceremony with no official records.",0
"Fake website reports that moonlight charging can double mobile battery life according to unnamed experts.",0
"Message forwarded on social media claims banks will erase all loans if users send account details today.",0
"Article says a miracle herb makes people invisible within seconds and pharmaceutical companies fear exposure.",0
"Conspiracy blog declares that every weather event is manually controlled by hidden machines under the ocean.",0
"Clickbait report claims schools replaced all textbooks with mind reading chips without any public announcement.",0
"Rumor suggests aliens signed a trade agreement with world leaders during a blackout and no journalists noticed.",0
"Unverified story says eating only chocolate for a week guarantees perfect health and instant weight loss.",0
"Anonymous channel alleges that the earth will stop rotating tomorrow according to suppressed military files.",0
